year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,9.0,5.0,6.0,5.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,4.0,0.44
2000/01,Fall,9,7,5,4,5,5,5,5,5,5,6,4,5,0.56
2000/01,Winter,9,5,6,6,5,4,5,5,6,8,7,4,5,0.56
2000/01,Spring,9.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,0.56
2001/02,Summer,9.0,6.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0,0.56
2001/02,Fall,9,6,6,5,4,4,5,4,6,5,6,4,5,0.56
2001/02,Winter,9,5,6,5,4,5,4,6,7,6,6,4,5,0.56
2001/02,Spring,8.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,4.0,4.0,0.5
2002/03,Summer,9.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,7.0,0.78
2002/03,Fall,6,2,4,4,3,5,2,3,3,2,2,2,4,0.67
2002/03,Winter,9,6,5,6,3,5,3,4,4,4,4,3,6,0.67
2002/03,Spring,9.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,6.0,0.67
2003/04,Summer,9.0,5.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,0.56
2003/04,Fall,9,4,4,3,3,3,4,2,4,3,4,2,7,0.78
2003/04,Winter,9,3,4,4,3,4,5,4,4,4,4,3,6,0.67
2003/04,Spring,9.0,7.0,6.0,4.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,0.56
2004/05,Summer,9.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,0.44
2004/05,Fall,9,5,4,3,3,4,5,3,5,4,4,3,6,0.67
2004/05,Winter,9,7,5,5,6,5,6,4,5,5,4,4,5,0.56
2004/05,Spring,9.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,0.56
2005/06,Summer,9.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,4.0,0.44
2005/06,Fall,9,6,6,7,6,6,4,5,6,5,5,4,5,0.56
2005/06,Winter,9,3,5,5,5,5,3,3,6,5,4,3,6,0.67
2005/06,Spring,9.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.44
2006/07,Summer,9.0,6.0,6.0,7.0,5.0,5.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,0.44
2006/07,Fall,9,5,5,4,4,4,4,6,5,4,4,4,5,0.56
2006/07,Winter,9,5,5,5,3,6,5,4,5,4,4,3,6,0.67
2006/07,Spring,9.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,4.0,5.0,0.56
2007/08,Summer,9.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,0.56
2007/08,Fall,9,5,6,5,6,7,7,5,5,5,5,5,4,0.44
2007/08,Winter,9,6,7,4,5,5,5,4,5,4,5,4,5,0.56
2007/08,Spring,9.0,5.0,7.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,5.0,0.56
2008/09,Summer,9.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,6.0,0.67
2008/09,Fall,9,5,5,5,5,4,6,4,5,6,5,4,5,0.56
2008/09,Winter,9,6,5,7,6,6,6,7,7,5,5,5,4,0.44
2008/09,Spring,9.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,6.0,5.0,4.0,0.44
2009/10,Summer,9.0,5.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,4.0,0.44
2009/10,Fall,9,5,5,6,7,8,7,6,6,6,5,5,4,0.44
2009/10,Winter,9,4,6,5,5,6,5,4,4,6,5,4,5,0.56
2009/10,Spring,9.0,6.0,6.0,8.0,6.0,9.0,7.0,7.0,8.0,5.0,5.0,5.0,4.0,0.44
2010/11,Summer,9.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,0.44
2010/11,Fall,9,5,6,7,6,6,5,4,5,4,5,4,5,0.56
2010/11,Winter,9,5,6,6,5,6,4,6,5,4,5,4,5,0.56
2010/11,Spring,9.0,6.0,6.0,7.0,7.0,6.0,5.0,8.0,7.0,5.0,6.0,5.0,4.0,0.44
2011/12,Summer,9.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,6.0,0.67
2011/12,Fall,9,7,5,5,7,9,7,6,7,5,6,5,4,0.44
2011/12,Winter,9,6,6,5,4,6,6,6,6,6,5,4,5,0.56
2011/12,Spring,9.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,7.0,5.0,5.0,4.0,0.44
2012/13,Summer,9.0,6.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,6.0,3.0,0.33
2012/13,Fall,9,6,7,5,6,4,6,3,5,7,6,3,6,0.67
2012/13,Winter,9,7,8,7,7,6,5,5,7,7,6,5,4,0.44
2012/13,Spring,9.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,3.0,0.33
2013/14,Summer,9.0,7.0,7.0,6.0,8.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,4.0,0.44
2013/14,Fall,9,7,7,7,5,5,6,6,5,6,6,5,4,0.44
2013/14,Winter,9,5,4,5,5,5,5,5,5,6,6,4,5,0.56
2013/14,Spring,9.0,6.0,6.0,6.0,7.0,5.0,4.0,6.0,6.0,6.0,6.0,4.0,5.0,0.56
2014/15,Summer,9,6,5,6,6,8,7,7,5,5,6,5,4,0.44
2014/15,Fall,9,6,6,7,4,5,3,4,5,6,6,3,6,0.67
2014/15,Winter,9,5,6,7,6,4,5,6,5,5,6,4,5,0.56
2014/15,Spring,9,4,5,7,6,5,8,5,4,5,4,4,5,0.56
