year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2011/12,Summer,2,1,1,1,1,1,1,1,0,0,0,0,2,1.0
2011/12,Fall,2,0,0,0,0,0,1,1,2,1,1,0,2,1.0
2011/12,Winter,2,1,1,1,1,1,1,1,0,1,1,0,2,1.0
2011/12,Spring,2,1,1,1,1,1,1,1,0,1,1,0,2,1.0
2012/13,Summer,2,1,1,0,0,0,0,0,0,0,0,0,2,1.0
2012/13,Fall,2,1,1,1,1,1,1,0,0,1,1,0,2,1.0
2012/13,Winter,2,1,2,2,1,1,1,2,1,1,1,1,1,0.5
2012/13,Spring,2,0,1,1,1,0,1,1,1,0,0,0,2,1.0
2013/14,Summer,2,0,0,0,1,1,0,0,0,0,0,0,2,1.0
2013/14,Fall,2,1,1,1,1,0,1,0,0,0,0,0,2,1.0
2013/14,Winter,2,0,0,0,1,0,0,0,0,0,0,0,2,1.0
2013/14,Spring,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2014/15,Summer,2,0,0,0,1,0,0,0,0,0,0,0,2,1.0
2014/15,Fall,2,1,1,1,1,2,1,0,1,1,0,0,2,1.0
2014/15,Winter,2,1,2,1,1,1,1,2,2,2,1,1,1,0.5
2014/15,Spring,2,2,1,1,1,2,1,1,1,2,1,1,1,0.5
