year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,0.4
2000/01,Fall,5,5,5,3,4,4,4,4,4,3,4,3,2,0.4
2000/01,Winter,5,5,4,4,3,3,3,3,2,3,4,2,3,0.6
2000/01,Spring,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,0.6
2001/02,Summer,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,0.4
2001/02,Fall,5,5,4,3,3,4,4,3,2,3,3,2,3,0.6
2001/02,Winter,5,4,4,3,4,3,2,4,4,4,4,2,3,0.6
2001/02,Spring,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,0.4
2002/03,Summer,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,0.4
2002/03,Fall,57,57,53,51,50,49,48,49,47,50,53,47,10,0.18
2002/03,Winter,57,54,54,52,47,47,49,48,49,50,54,47,10,0.18
2002/03,Spring,57.0,56.0,53.0,48.0,41.0,39.0,44.0,42.0,45.0,44.0,49.0,39.0,18.0,0.32
2003/04,Summer,57.0,54.0,47.0,40.0,34.0,25.0,31.0,32.0,36.0,37.0,43.0,25.0,32.0,0.56
2003/04,Fall,5,5,5,3,2,2,3,3,4,4,5,2,3,0.6
2003/04,Winter,5,5,4,3,3,3,3,3,2,3,4,2,3,0.6
2003/04,Spring,5.0,5.0,5.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,0.8
2004/05,Summer,5.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,0.6
2004/05,Fall,4,4,3,1,1,2,2,3,3,3,4,1,3,0.75
2004/05,Winter,4,4,4,3,2,1,2,3,4,4,4,1,3,0.75
2004/05,Spring,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,0.5
